epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,677.986,0.9944,1.06993,0.20584,0.0405,0.31886,0.03581,0.01171,0.79545,0.99384,0.13385,3.32948e-05,3.32948e-05,0.0667385
2,1363.75,0.70658,1.04339,0.1126,0.06691,0.43273,0.06667,0.03374,0.47741,1.25439,0.0931,6.61884e-05,6.61884e-05,0.0334381
3,2064.58,0.62927,1.06761,0.10314,0.08246,0.50507,0.08464,0.04187,0.4704,1.24824,0.09206,9.8642e-05,9.8642e-05,0.000137178
4,2765.94,0.522,1.10089,0.0847,0.1776,0.47178,0.18335,0.09408,0.45801,1.13108,0.08975,9.802e-05,9.802e-05,9.802e-05
5,3479.96,0.55609,0.91428,0.09625,0.59813,0.62775,0.56717,0.26585,0.58299,0.66353,0.12641,9.736e-05,9.736e-05,9.736e-05
6,4146.03,0.60612,0.64844,0.11255,0.64112,0.6346,0.62888,0.31062,0.56678,0.6467,0.12411,9.67e-05,9.67e-05,9.67e-05
7,4812.55,0.59749,0.62777,0.11015,0.65451,0.65356,0.64825,0.31508,0.56608,0.65411,0.12516,9.604e-05,9.604e-05,9.604e-05
8,5516.17,0.58721,0.60456,0.10944,0.68608,0.64558,0.6753,0.33363,0.55332,0.59818,0.11837,9.538e-05,9.538e-05,9.538e-05
9,6227.41,0.58401,0.5882,0.10692,0.67713,0.6738,0.68351,0.34012,0.54966,0.59275,0.11841,9.472e-05,9.472e-05,9.472e-05
10,6968.77,0.57271,0.58056,0.10304,0.69136,0.65222,0.68705,0.34296,0.54905,0.58859,0.11871,9.406e-05,9.406e-05,9.406e-05
11,7662.54,0.56826,0.57738,0.10292,0.70823,0.67057,0.70082,0.35754,0.54407,0.57571,0.12086,9.34e-05,9.34e-05,9.34e-05
12,8356.56,0.56241,0.56765,0.10189,0.69794,0.6742,0.70098,0.3532,0.54012,0.58182,0.11717,9.274e-05,9.274e-05,9.274e-05
13,9041.27,0.56545,0.57103,0.10268,0.69877,0.67893,0.69582,0.35338,0.54229,0.59338,0.11965,9.208e-05,9.208e-05,9.208e-05
14,9705.09,0.55474,0.57216,0.10106,0.68577,0.69586,0.71209,0.36972,0.53992,0.57208,0.1204,9.142e-05,9.142e-05,9.142e-05
15,10352.6,0.54746,0.55673,0.09955,0.68981,0.67759,0.70073,0.35808,0.54789,0.5772,0.12244,9.076e-05,9.076e-05,9.076e-05
16,11008,0.55252,0.5578,0.10054,0.73565,0.66045,0.72198,0.37288,0.53857,0.56403,0.11924,9.01e-05,9.01e-05,9.01e-05
17,11631,0.54878,0.55221,0.09864,0.69854,0.68328,0.71378,0.36715,0.53593,0.57701,0.11692,8.944e-05,8.944e-05,8.944e-05
18,12240.5,0.54826,0.54799,0.0996,0.72096,0.67572,0.71069,0.36635,0.53567,0.57691,0.11945,8.878e-05,8.878e-05,8.878e-05
19,12847.6,0.54155,0.54031,0.09722,0.71881,0.68331,0.72842,0.37641,0.53304,0.56105,0.11651,8.812e-05,8.812e-05,8.812e-05
20,13454.9,0.54116,0.54428,0.09861,0.72046,0.70291,0.73273,0.37869,0.52807,0.56607,0.11674,8.746e-05,8.746e-05,8.746e-05
21,14062.1,0.53646,0.53684,0.09739,0.7209,0.68959,0.72768,0.37603,0.52877,0.56322,0.11549,8.68e-05,8.68e-05,8.68e-05
22,14669.6,0.53752,0.53185,0.09832,0.72031,0.6857,0.72838,0.37644,0.53019,0.56128,0.11748,8.614e-05,8.614e-05,8.614e-05
23,15276.4,0.53302,0.53224,0.09737,0.72786,0.68866,0.73325,0.38344,0.52971,0.55436,0.11798,8.548e-05,8.548e-05,8.548e-05
24,15883.7,0.53472,0.53441,0.09698,0.7253,0.68464,0.72561,0.37563,0.53313,0.57147,0.11857,8.482e-05,8.482e-05,8.482e-05
25,16490.1,0.52897,0.52816,0.09593,0.72561,0.69961,0.73728,0.38213,0.52826,0.56112,0.11587,8.416e-05,8.416e-05,8.416e-05
26,17096.8,0.53078,0.52071,0.094,0.72013,0.70612,0.73745,0.38599,0.52909,0.55782,0.12053,8.35e-05,8.35e-05,8.35e-05
27,17703.6,0.52048,0.52214,0.0936,0.73509,0.68392,0.7372,0.38178,0.53533,0.55368,0.12058,8.284e-05,8.284e-05,8.284e-05
28,18310.3,0.52328,0.51456,0.09274,0.72442,0.70011,0.73976,0.38554,0.52486,0.5611,0.11594,8.218e-05,8.218e-05,8.218e-05
29,18916.5,0.52598,0.51974,0.09154,0.72542,0.70649,0.74524,0.38725,0.52928,0.55904,0.11884,8.152e-05,8.152e-05,8.152e-05
30,19523.5,0.51803,0.51522,0.09215,0.73403,0.70056,0.74412,0.38933,0.52904,0.55787,0.12036,8.086e-05,8.086e-05,8.086e-05
31,20130.5,0.51503,0.51103,0.09125,0.73022,0.70661,0.74647,0.38632,0.53146,0.55615,0.1178,8.02e-05,8.02e-05,8.02e-05
32,20737.4,0.51345,0.51265,0.09171,0.7232,0.69958,0.74168,0.38862,0.53012,0.55602,0.11731,7.954e-05,7.954e-05,7.954e-05
33,21344.1,0.51231,0.50691,0.09124,0.72695,0.70209,0.74188,0.3871,0.52768,0.55889,0.12053,7.888e-05,7.888e-05,7.888e-05
34,21950.8,0.5099,0.5032,0.09153,0.72639,0.70184,0.74492,0.38753,0.53118,0.5548,0.1195,7.822e-05,7.822e-05,7.822e-05
35,22557.1,0.50978,0.50253,0.09128,0.73551,0.71025,0.7504,0.38862,0.52966,0.55164,0.121,7.756e-05,7.756e-05,7.756e-05
36,23163.5,0.50989,0.50319,0.08946,0.72484,0.70522,0.73798,0.38283,0.53224,0.55631,0.1201,7.69e-05,7.69e-05,7.69e-05
37,23770.1,0.51077,0.50124,0.08965,0.71885,0.71872,0.74353,0.38799,0.5319,0.55651,0.1194,7.624e-05,7.624e-05,7.624e-05
38,24376.7,0.50296,0.49982,0.08775,0.73447,0.7106,0.74559,0.39066,0.52804,0.5544,0.12162,7.558e-05,7.558e-05,7.558e-05
39,24983.6,0.50196,0.5007,0.0894,0.73044,0.713,0.74979,0.38788,0.52874,0.55744,0.12058,7.492e-05,7.492e-05,7.492e-05
40,25590.2,0.50152,0.50088,0.0879,0.7432,0.71107,0.74816,0.38751,0.52869,0.55794,0.11884,7.426e-05,7.426e-05,7.426e-05
41,26196.9,0.50155,0.49563,0.08815,0.73145,0.71662,0.74671,0.38693,0.53148,0.55743,0.12161,7.36e-05,7.36e-05,7.36e-05
42,26803.7,0.49539,0.49102,0.08724,0.73277,0.71395,0.74102,0.38487,0.53238,0.56627,0.12218,7.294e-05,7.294e-05,7.294e-05
43,27410.7,0.49747,0.48726,0.08667,0.72711,0.71967,0.74896,0.38849,0.53497,0.55501,0.12048,7.228e-05,7.228e-05,7.228e-05
44,28017.6,0.4904,0.4894,0.08502,0.7308,0.72267,0.75005,0.38957,0.52984,0.55555,0.12054,7.162e-05,7.162e-05,7.162e-05
45,28628.8,0.49024,0.48574,0.08742,0.73365,0.70741,0.74327,0.38695,0.53331,0.55483,0.12273,7.096e-05,7.096e-05,7.096e-05
46,29235.9,0.48517,0.48906,0.0854,0.73946,0.71277,0.74811,0.38732,0.5315,0.56034,0.12199,7.03e-05,7.03e-05,7.03e-05
47,29856,0.48228,0.48832,0.08492,0.73061,0.71263,0.74785,0.38993,0.5347,0.55252,0.12101,6.964e-05,6.964e-05,6.964e-05
48,30506.8,0.47899,0.48197,0.08282,0.73276,0.71111,0.74784,0.38774,0.52982,0.55985,0.12144,6.898e-05,6.898e-05,6.898e-05
49,31186.9,0.48288,0.48388,0.08479,0.73445,0.7171,0.74591,0.38647,0.53641,0.55291,0.1231,6.832e-05,6.832e-05,6.832e-05
50,31833.2,0.48694,0.48142,0.08523,0.73672,0.72056,0.75444,0.39224,0.53639,0.55231,0.12393,6.766e-05,6.766e-05,6.766e-05
51,32477.4,0.48428,0.48067,0.08498,0.73364,0.72302,0.75238,0.39135,0.53492,0.55382,0.12133,6.7e-05,6.7e-05,6.7e-05
52,33092.1,0.47555,0.47836,0.08488,0.73221,0.71448,0.74786,0.38838,0.53736,0.55331,0.12447,6.634e-05,6.634e-05,6.634e-05
53,33723.1,0.47262,0.4762,0.08256,0.73694,0.71587,0.7543,0.39326,0.53643,0.55521,0.12299,6.568e-05,6.568e-05,6.568e-05
54,34353.1,0.46973,0.4747,0.08221,0.73323,0.72803,0.75554,0.39176,0.53376,0.55686,0.1215,6.502e-05,6.502e-05,6.502e-05
55,34987,0.46962,0.47628,0.08097,0.72596,0.723,0.75331,0.38827,0.53465,0.56078,0.12216,6.436e-05,6.436e-05,6.436e-05
56,35619.7,0.46925,0.47206,0.08235,0.74788,0.71406,0.7529,0.39138,0.53711,0.55755,0.12458,6.37e-05,6.37e-05,6.37e-05
57,36245.3,0.46664,0.47313,0.08004,0.74437,0.71105,0.75284,0.39039,0.53895,0.5604,0.12314,6.304e-05,6.304e-05,6.304e-05
58,36858.6,0.46305,0.46999,0.07978,0.74043,0.71194,0.75372,0.38904,0.54075,0.55885,0.12509,6.238e-05,6.238e-05,6.238e-05
59,37466.9,0.46631,0.47168,0.08064,0.74237,0.71969,0.75666,0.38965,0.54077,0.55889,0.12378,6.172e-05,6.172e-05,6.172e-05
60,38074.9,0.46458,0.47061,0.07953,0.72807,0.71821,0.75412,0.38654,0.54229,0.55915,0.12556,6.106e-05,6.106e-05,6.106e-05
61,38682.2,0.46343,0.4669,0.0803,0.73432,0.71622,0.75466,0.38816,0.54126,0.55961,0.12385,6.04e-05,6.04e-05,6.04e-05
62,39292.3,0.46073,0.46585,0.0798,0.74098,0.70907,0.7495,0.38783,0.54274,0.55827,0.12433,5.974e-05,5.974e-05,5.974e-05
63,39907.6,0.46085,0.47175,0.07824,0.73873,0.7123,0.74998,0.38641,0.54316,0.56777,0.12494,5.908e-05,5.908e-05,5.908e-05
64,40524.7,0.45622,0.46108,0.07891,0.733,0.718,0.74647,0.38467,0.54656,0.56417,0.12641,5.842e-05,5.842e-05,5.842e-05
65,41142.1,0.45163,0.46154,0.07785,0.74442,0.70836,0.74839,0.38644,0.54483,0.56768,0.12476,5.776e-05,5.776e-05,5.776e-05
66,41757.3,0.45215,0.45755,0.07711,0.73244,0.71961,0.74486,0.38426,0.54598,0.56694,0.12484,5.71e-05,5.71e-05,5.71e-05
67,42365.9,0.45289,0.45752,0.07798,0.7228,0.72827,0.74676,0.38554,0.54646,0.56678,0.12618,5.644e-05,5.644e-05,5.644e-05
68,42973.6,0.44982,0.45728,0.07898,0.73367,0.71527,0.74821,0.38528,0.54648,0.56583,0.12539,5.578e-05,5.578e-05,5.578e-05
69,43583,0.4457,0.45513,0.07492,0.73706,0.71595,0.74956,0.38396,0.54705,0.56868,0.12639,5.512e-05,5.512e-05,5.512e-05
70,44195.9,0.44446,0.45169,0.07571,0.73425,0.71993,0.7508,0.38678,0.54658,0.56355,0.12765,5.446e-05,5.446e-05,5.446e-05
71,44810.9,0.43852,0.45235,0.07523,0.73453,0.71816,0.74554,0.38221,0.54796,0.5683,0.12712,5.38e-05,5.38e-05,5.38e-05
72,45425.8,0.44423,0.45383,0.07639,0.72858,0.7171,0.74269,0.38131,0.54858,0.57092,0.12578,5.314e-05,5.314e-05,5.314e-05
73,46039.7,0.44066,0.45092,0.07418,0.72882,0.71541,0.74351,0.38156,0.54928,0.5703,0.12674,5.248e-05,5.248e-05,5.248e-05
74,46652.2,0.43822,0.44981,0.07499,0.72342,0.71637,0.7462,0.38169,0.54878,0.57533,0.12748,5.182e-05,5.182e-05,5.182e-05
75,47259.9,0.44102,0.44891,0.07635,0.71808,0.72721,0.74509,0.38169,0.54861,0.57659,0.1267,5.116e-05,5.116e-05,5.116e-05
76,47868.3,0.43655,0.4496,0.07376,0.72817,0.71463,0.74258,0.37975,0.54857,0.57406,0.12765,5.05e-05,5.05e-05,5.05e-05
77,48479.7,0.43278,0.44661,0.07279,0.72917,0.71403,0.74572,0.38108,0.54851,0.57321,0.12662,4.984e-05,4.984e-05,4.984e-05
78,49091.1,0.42867,0.44394,0.07148,0.72508,0.71832,0.74488,0.38167,0.55017,0.57487,0.12847,4.918e-05,4.918e-05,4.918e-05
